,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT:
 1->10->2->3->-4>...",,Revisit - new,,,Annotator,,,,,,,,,,,,,,,,,,,,,,,,Revisit
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of goal attempts by a single player?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by a single player?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by a single player?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by a single player? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by a single player? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt3_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt4_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt5_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt6_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt7_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt8_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many shots are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many 3-pointers are made in total?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total 3-pointer field goal percentage? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of shots made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest number of 3-pointers made by one team?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the largest 3-pointer field goal percentage by one team? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many different players make a shot in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0003_pt9_redacted.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0001_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0001_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0002_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0002_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0003_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0003_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0004_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0004_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0005_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0005_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0006_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0006_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0007_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0007_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times does the climber's hands or feet touch the lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0008_pt1.mp4,bouldering,No,Count,Atmoic,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the maximum number of touches the climber's hands or feet make to a single lit holds?,/nas2/benchmarks/vpi/real/processed/bouldering/0008_pt1.mp4,bouldering,No,Count,Dict,Willis,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
