,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT:
1->10->2->3->-4>...",,Revisit - new,,,Annotator,,,,,,,,,,,,,,,,,,,,,,,,Revisit
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0001.mp4,packing_order_blue,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0002_pt1.mp4,packing_order_blue,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0003.mp4,packing_order_blue,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0004_pt1.mp4,packing_order_blue,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0005.mp4,packing_order_blue,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0006_pt1.mp4,packing_order_blue,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0007.mp4,packing_order_blue,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0008_pt1.mp4,packing_order_blue,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0009.mp4,packing_order_blue,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many blue papers need to be added so that all cups have the same number of blue papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0010_pt1.mp4,packing_order_blue,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0001.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0002.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0003_pt1.mp4,packing_order_yellow,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0004.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0005_pt1.mp4,packing_order_yellow,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0006.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0007_pt1.mp4,packing_order_yellow,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0008.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0009_pt1.mp4,packing_order_yellow,No,Count,Dict,Sihyun,Occlusion,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many yellow papers need to be added so that all cups have the same number of yellow papers?",/nas2/benchmarks/vpi/real/processed/packing_order/0010.mp4,packing_order_yellow,,,,Sihyun,Occlusion,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0001_pt1.mp4,packing_order_chopsticks,No,Count,Dict,Sihyun,None,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0002.mp4,packing_order_chopsticks,,,,Sihyun,None,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0003_pt1.mp4,packing_order_chopsticks,No,Count,Dict,Sihyun,None,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0004.mp4,packing_order_chopsticks,,,,Sihyun,None,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0005_pt1.mp4,packing_order_chopsticks,No,Count,Dict,Sihyun,None,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0006.mp4,packing_order_chopsticks,,,,Sihyun,None,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0007_pt1.mp4,packing_order_chopsticks,No,Count,Dict,Sihyun,None,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0008.mp4,packing_order_chopsticks,,,,Sihyun,None,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0009_pt1.mp4,packing_order_chopsticks,No,Count,Dict,Sihyun,None,Indexed counters,Project,FALSE,,,,,,,,,,,,,,,,,,,,No
"In the video, papers and chopsticks are being distributed into cups so that each cup has the same amount. How many chopsticks need to be added so that all cups have the same number of chopsticks?",/nas2/benchmarks/vpi/real/processed/packing_order/0010.mp4,packing_order_chopsticks,,,,Sihyun,None,Indexed counters,Project,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_count_diamond,No,Count,Dict,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many diamond cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_count_diamond,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many heart cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_count_heart,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many club cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_count_club,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. How many spade cards were revealed?",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_count_spade,,,,Sihyun,None,Indexed counters,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) heart
 (B) club
 (C) spade
 (D) diamond",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) club
 (B) diamond
 (C) spade
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) spade
 (B) diamond
 (C) club
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) heart
 (B) club
 (C) diamond
 (D) spade",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) club
 (B) diamond
 (C) heart
 (D) spade",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) diamond
 (B) club
 (C) spade
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the most cards?
 
 (A) heart
 (B) spade
 (C) club
 (D) diamond",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_most,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) club
 (B) spade
 (C) diamond
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0001.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?",/nas2/benchmarks/vpi/real/showing_card/0002.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) diamond
 (B) club
 (C) heart
 (D) spade",/nas2/benchmarks/vpi/real/showing_card/0003.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) club
 (B) diamond
 (C) spade
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0004.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?",/nas2/benchmarks/vpi/real/showing_card/0005.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?",/nas2/benchmarks/vpi/real/showing_card/0006.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) club
 (B) heart
 (C) diamond
 (D) spade",/nas2/benchmarks/vpi/real/showing_card/0007.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) club
 (B) diamond
 (C) heart
 (D) spade",/nas2/benchmarks/vpi/real/showing_card/0008.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) spade
 (B) heart
 (C) club
 (D) diamond",/nas2/benchmarks/vpi/real/showing_card/0009.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
"In the video, cards are revealed one by one and sorted by their symbol. Which symbol had the least cards?
 
 (A) diamond
 (B) club
 (C) spade
 (D) heart",/nas2/benchmarks/vpi/real/showing_card/0010.mp4,showing_card_least,,,,Sihyun,None,Indexed counters,Compare,TRUE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt1.mp4,basketball,,,,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,TRUE,,,,,,,,,,,,,,,,,,,,No
"""What's the number of **different** players that make a shot attempt in the video?""",/nas2/benchmarks/vpi/real/processed/basketball/0001_pt10.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Set,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the number of **different** players that make a shot attempt in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt2.mp4,basketball,No,Attribute,Set,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Set,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goal attempts are made in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt3.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many times is the ball served in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt4.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the total field goal percentage in the video? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt5.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,Yes
What's the total field goal percentage in the video? Round to the nearest integer in percentage.,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt6.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
How many passes are made by the end of the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt7.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many successful passes are made by the end of the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt8.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
How many goals are scored in the video?,/nas2/benchmarks/vpi/real/processed/basketball/0001_pt9.mp4,basketball,No,Count,Atmoic,Sihyun,"Action ambiguity, Multi-entity attribution, Occlusion",Counter,Readout,FALSE,,,,,,,,,,,,,,,,,,,,No
What's the field goal percentage of the player with black t-shirt?,/nas2/benchmarks/vpi/real/processed/basketball/0002_pt1.mp4,basketball,No,Count,Dict,Sihyun,"Action ambiguity, Multi-entity attribution, Camera motion",Indexed counters,Aggregate,FALSE,,,,,,,,,,,,,,,,,,,,No
